Papel;Segmento;Cotação;FFO Yield;Dividend Yield;P/VP;Valor de Mercado;Liquidez;Qtd de imóveis;Preço do m2;Aluguel por m2;Cap Rate;Vacância Média
OUFF11;Títulos e Val. Mob.;65.23;0.1559;0.1296;0.81;118349000;301721;0;0;0;0;0
OUJP11;Híbrido;95.03;0.1519;0.153;0.94;309074000;703733;0;0;0;0;0
OULG11;Logística;44.32;0.0823;0.0488;0.61;109971000;91552;2;1199.45;161.79;0.1349;0
OURE11;Híbrido;80.78;0.1774;0.1497;0.86;87007100;132647;6;2618.14;278.19;0.1063;0
PATC11;Lajes Corporativas;69.63;0.0498;0.0586;0.82;242134000;1606400;6;15843.5;1085.7;0.0685;0.029
PATL11;Logística;72.42;0.0922;0.0951;0.74;361487000;706902;4;2313.27;257.57;0.1113;0
PEMA11;Títulos e Val. Mob.;50;0.2516;0.2856;0.66;27600000;3946;0;0;0;0;0
PLCA11;Títulos e Val. Mob.;92.5;0.0107;0.0323;0.97;51524300;56284;0;0;0;0;0
PLCR11;Híbrido;85.65;0.2097;0.1509;0.93;180650000;391834;0;0;0;0;0
PLOG11;Logística;76.47;0.178;0.1173;0.76;57352500;86019;1;780.76;160.58;0.2057;0
PLRI11;Títulos e Val. Mob.;26.8;-0.0312;0.4018;0.8;25575300;3484;0;0;0;0;0
PORD11;Títulos e Val. Mob.;90.75;0.163;0.1627;0.93;338350000;734528;0;0;0;0;0
PQAG11;Logística;54.25;0.0896;0.0893;0.95;759060000;9031;1;12052.6;1065.64;0.0884;0
PQDP11;Shoppings;2200;0.0854;0.0818;0.66;540129000;349115;1;2029.89;228.58;0.1126;0.0109
PRSN11B;Residencial;2.31;-0.1658;0.1251;0.49;7464180;282;2;12668.5;0;0;0
PRSV11;Lajes Corporativas;140.1;0.0588;0;0.58;27319500;8135;1;2441.13;364.76;0.1494;0.409
PVBI11;Lajes Corporativas;91.29;0.0739;0.0675;0.92;916505000;2371070;4;10323.6;784.91;0.076;0
QAGR11;Outros;45.43;0.1065;0.1036;0.81;228967000;370043;12;2700.45;321.09;0.1189;0
